id,rating,title,date,content
PJ,4,"Well pleased with Kindle
","June 26, 2019","I purchased the Kindle 10th Generation 2019 reader to replace my 8 year old Nook Simple Touch that was slowly dying. I only wanted a black & white reader and was torn between a new Nook or trying out a Kindle. The price of the Kindle won me over. I have the one with ads but they only appear on the front screen when it's first awakened sort of like a screen saver.  I must say I've been pretty pleased with this little reader so far. I keep it on airplane mode and the light turned off unless I really need it and that way it helps preserve the battery life considerably. I read at least 2 hours a day and the battery lasts about 2+  weeks before needing to be charged (my old Nook's battery lasted twice as long). I do miss the page turner button but the touch screen is easy enough even though I'm still getting used to the touch sensitivity which is a little different from the Nook.  The feature I like best is that I download books from the public library and the download process is so much easier with Kindle and Amazon than it was with Nook and Adobe Digital Editions. Also, I can sync the Kindle with my iPhone for those times I have my phone with me but not the Kindle.Great little e-reader!
"
Coco,5,"Best e reader i love it
","November 10, 2019","I own a paper white. But i gave it to my sisters she lost hers. I got this one for me. I i love it more than the paper white is so cute i love the front light. I feels good in your hands  i love listening too  audio books or reading  i still  own the first kindle  fire nostalgia  I wont  get rid of it. I bought most my family kindle fires.  BUT for reading this is my favorite  and i  own the paper white water proof.  But this is favorite e reader  at night at paired with my amazon echo for my audio books  perfect  a d take it with me  to my appointments  love it
"
JLBR,2,"Sluggish
","July 26, 2019","This new kindle I just bought is a replacement for one my wife gave me three years ago, which is why, when comparing that old kindle with the new one, I realize that, first of all, in three years the technology for this product has remained stagnant. My new kindle feels just as slow, or even slower than the old one, the built in light feature, which amazon is trying to market as new, is not, and basically you’re just being sold the same product with absolutely no tech innovation. Second complaint is the built in ads. Wanting to save some money, I opted for the ads version of the product.  Big mistake. I thought opting in to this would mean getting some ads every once in a while when browsing the store or when in my library, or something like that.  Boy was I wrong. Basically, whenever your kindle is on sleep mode, it really isn’t because your screen is displaying an ad for a book 24/7.  The result? It drains your battery. I left my kindle alone for 24 hours as an experiment and battery life was drained at a rate of 5% for each 24 hours.  My old kindle’s battery life was awesome.  Not anymore.  So while I opted for the ads in order to save me some bucks, I don’t recommend it but I also think amazon is abusing its customer base with such tasteless bombardment.  I will never buy a book advertised on those ads, they don’t even appeal to me. Kindles are already expensive for what they are, and they’re basically designed to keep on generating revenue for amazon via their books sales, customers should not be abused like this, amazon could offer these gimmicks with a discount given we’re just going to buy books from them.  So, honestly, I am quite disappointed with this product, it is expensive, I get bombarded with ads that are draining my battery, and basically as an amazon customer I feel like I am being taken advantage of with this gadget.
"
ash,5,"Great item to have! no complaints:)
","May 14, 2019","I've always been hesitant about getting a kindle because my strongest argument is ""I just need a hard copy book - it's not the same reading it digitally!"" But my only reference to reading digitally is on my phone or computer (blue screens).Spoiler alert - I cracked and bought one! This is seriously so great to have. I love the technology behind these and how it feels like I am reading a real paper book! My eyes don't get tired even with the back light. The kindle is great to have for trips or train rides where you need to pack light or want to switch books from time to time.I'm not the greatest with vocabulary and i love having the feature of being able to look up words while I am reading. Great features - easy to use - does everything I need it to. I'm sure in time that it will get faster when you change pages or click buttons, but i'm in no rush.. I'm sure I turn pages with hard copy books slower than my kindle does.
"
Riparian Librarian,3,"Love the built-in light, still can't stand the touch screen
","May 30, 2019","The built-in light on the low-end Kindle models is a welcome new feature, though it does (understandably) cut into the battery life. Unfortunately, it looks like Amazon has no plans to bring back physical page advance buttons on the cheap models. I've never liked touch screens on my Kindles. It's a single-purpose device. Nobody uses it as a tablet. That's what the Fire is for. All the touch screen does is advance the page when my hand accidentally brushes against the screen. I find myself having to hold it gingerly by the edges to prevent that, and if I fall asleep reading and mash a hand against the screen in my sleep, I could wake up to anything. It's an annoying feature and the reason why I docked a couple of stars, but apart from that, this model is well worth the money.
"
Mrs. Cheryl A. Beauman,5,"Built in light is good
","May 30, 2019","I just bought the simple white page Kindle with the built-in light.  I had been wanting/needing that light for night reading.  The white page is the best for outside and that is why I love my Kindle.  I don't need the waterproof feature on the more expensive up-grade.  I do not think the touch screen is as good as the older version.  The pages don't turn as easily.  But, it is not something that would cause me to return the device.
"
Robert McCloud,4,"Finally upgraded...with mixed feelings.
","September 29, 2019","I finally upgraded from my old Kindle Keyboard to the newest model. I have mixed feelings about it. I really, really miss the side buttons. It was just so much easier with the forward/back buttons on both sides of the kindle, enabling use by either your left or right hand. In comparison, the touch screen is glitchy and slow. As has been mentioned by other reviewers, it will either not respond, or respond when your hand is close to but not touching the screen, or flip two pages instead of going to the next or previous page. I'm also not really crazy about the newer operating system, although I've gotten used to it. I love the front lighting, as it makes it a lot easier to read in differing conditions. I do like the smaller size (in comparison to the older keyboard version). All in all, I'm happy with this newer Kindle, but...again...if I had one wish, it would be to have the side buttons back.
"
2-8-23-17,5,"Change even more welcome when needed.
","June 8, 2019","With eye problems and my 81st birthday behind me, I had begun ebooks a few years back - bolder and larger print, you know. Our local library is great for large print and annual reading clubs for all us children, but a daughter decided a Kindle would be best and made it a gift for Mother's Day. Becoming educated for rules and use continues, still it has become a wonderful friend.  I love it.
"
Dominika T,5,"The traditional bookworm finally convinced to e-readers!
","October 14, 2019","I've always been a person, who prefers printed book on paper. I love the smell of printed pages, their physical presence so I can actually hold it, turn the pages, etc. I felt like e-books are their evil brothers, that it must be so uncomfortable to read on e-readers and other myths.Everything remained that way for a long time. Until the day came...I moved out from my country (I'm from Europe) and came to the United States. I took with myself a few books, my favorites. I had a hard time to find books I wanna read in my language here in the States at the decent price and some of them weren't even available. Then I thought I will switch to English books. The reading process was a nightmare! I've been searching new or unknown words in dictionary on my phone, it slowed me down in reading process no more enjoyable...:(Then I thought I will give e-reader a chance!First one I bought was Kindle 8th. I felt like it saved my life! Built-in dictionary saved me many times, while reading English books. The screen didn't have any glare to it. I didn't know there were no light when I bought it, I managed to use it a month and I bought cheap and second hand Nook Glowlight to compare. The front light was just a miracle to me! Then I decided to buy a new Basic Kindle 10th. I only read books, no magazines or comics. First I wanted to buy Kindle Paperwhite 3, but my priority was to have an ability to TURN OFF the light completely, which this model doesn't allow. It was very hard to find this info anywhere.And yes, this Kindle 10th can have the light turned off completely (you can check my pics I've uploaded, Kindle 8th and 10th with light off look pretty the same).I got very lucky because there was a 20% discount on Amazon on used devices. My Kindle was described as ""used good condition"" so I expected some minor wear and tear. But my device came looking like brand new, no scuffs, damages, nothing! I also ordered it WITH ads, but I checked it and realized the Amazon guys turned them off for me for free without me even asking for it! It was so nice! So here is a great plus for customer service!The screen has a bit more glare than Kindle 8th but less than Nook. However, my Nook's battery is more durable! So every devices has its flaws and pluses.I'm very happy from this purchase, I didn't expect it would be so great!
"
Jami T Garner,5,"Nook Converts....
","April 20, 2019","I Got this as a gift for my wife’s birthday.  We’ve been Nook users for years, but got a Paperwhite Kindle (6ed) when they were on sale at Christmas.  I opted for the lower cost of this for her birthday so we don’t have to share(fight over the Paperwhite) anymore and have not been sorry for a second.  Although the resolution is a little lower, we don’t notice the difference.  The interface is sooo much better that on the Nook, and we both love the experience of reading on the kindle.
"
Maria Sarcinelli,5,"Perfect size
","April 19, 2019","I've had multiple Kindle's over the year, the starting with keyboard one and then the original paperwhite. I love how long the battery life is and I'm seeing that continue in this new Kindle - a week and a half in reading at level 5 brightness for 1-2 hours a day and my batter is still up about 75% with wifi on and only using the case to put it to sleep at night. The ability to change the brightness mirrors my old Paperwhite and I find the text sharp and easy to read. There is a noticeable difference in weight from my old Paperwhite, even with the Amazon case this new Kindle is much lighter weight, perfect for tossing in my purse or backpack for reading on the go. I've had no issues with the pages not being responsive/jumping ahead. I find the menu configuration a little less intuitive than my old Paperwhite, but still very usable and user friendly. Definitely recommend this new Kindle!
"
Brett D. Donjon,5,"Awesome -- with a couple minor inconveniences
","August 2, 2019","Built-in light is exceptional, and the adjustable brightness is perfect.  Battery life is stellar, and what we've all come to expect from Kindle readers.The touch screen will take some getting used to.  My previous Kindle reader was the older model that had the page-turning buttons on the sides, which I loved.  With the touch screen I find myself accidentally turning pages when I don't mean to, and sometimes the page turns ahead when I was trying to turn back.  This is my biggest gripe.The touch keyboard is far better than the old Kindle keyboard buttons, so the designers deserve some credit on that point.Touch screen does make the device much easier to navigate than the old keyboard model.I wish the Power switch wasn't on the bottom-center of the device.  I've hit it a few times by accident.  Why can't the power button be on top, like with the Kindle Fire?
"
Katya R.,1,"Do not buy this
","July 2, 2019","If you're deciding between a tablet for Kindle or the actual Kindle, GET THE TABLET. The resolution is awful, every time you select something or scroll it glitches ( I don't know if that is normal or not) and allegedly the battery life is of weeks but I received it yesterday at 42 percent battery and I woke up today and it was already drained. It is so slow so scrolling or clicking anything is irritating. I do not recommend this product at all. Also it is very small, take that into consideration if you're a fan of big screens or books.
"
SoCal_reader,4,"Good low cosy, lightweight alternative to oaperwhite
","July 8, 2019","I have had several Kindles over the years and love my Kindle Paperwhiite.  Since I carry my Paperwhite with me all the time, I was looking for a lighter weight version.  I bought the older basic Kindle reader but missed the light; so when I saw this new version with a light and on sale, I bought it.  For day to day reading it's great.  The lower resolution is a bit of a problem with images and maps  but I can always look at my higher red version when I am at home.ISo far battery life seems OK and illumination may even be better than my Paperwhite. At $69 it was a great deal.
"
Ifedimma,5,"The best investment I’ve ever made!!
","July 27, 2019"," I absolutely looovvveeee this all new basic kindle with the backlight. I had the 6th generation kindle for years. I finally traded it in for this bad baby on Prime Day. Got it for a whooping 30 bucks. It was worth very single penny. I love reading on it. I don’t care for the psi quality, it’s crisp, it’s visible and I can still read it. I can’t get enough of it! I highly recommend getting a pop socket!!! It changed my life with grip! Why spend the extra cash on paperwhite when you can get this?? I highly recommend this!
"
Jorge R,5,"Lo maximo. Mi primera kindel
","July 24, 2019","Al principio tenia miedo de comprarme un lector de libros. Soy malo para leer libros en estos dispositivos, ademas de todo el dia de estar trabajando en un PC pues no dan muchas ganas. Sin embargo, la Kindle con luz incorporada es lo maximo. No me da agotamiento en los ojos. Es como si uno estuviera leyendo un libro en fisico. Tambien se puede leer en las noches con la luz apagada. 100% recomendado.
"
S. Miller,4,"Good Kindle
","July 31, 2019","My Kindle keyboard (VERY OLD!) got wet and I needed to replace it.  This was a great deal during Prime Day and I'm mostly satisfied.  I really like the front light and I get to try Kindle Unlimited for 3 months.  However, I REALLY miss the mechanical page turn buttons on my old Kindle, which enabled me to page forward or backward, regardless of the hand I was holding the Kindle with.  The touch screen is a little more sensitive and I find myself frequently needing to go back/forth to find the right page.  This Kindle is also significantly shorter (smaller) than my old one.  I miss the extra couple of inches for holding on.  Especially with the touchy screen and lack of buttons, its not as easy or comfortable to hold as I'm reading.  Also, I'm totally underwhelmed with the Kindle Unlimited selections.  Based on what I've seen so far, I won't be paying once my trial is over.
"
Summer Hater,1,"No headphone jack
","November 24, 2019","This is a review of the 2019 small version.  I bought this to listen to audiobooks and was attracted to the ""go from reading to listening"" feature, which of course the app already has.  However, there is no headphone jack!  So, EVERYBODY has to listen to my audiobook.  Not acceptable, of course, so I'm returning it.  Too bad!
"
Rahsaan,1,"Unsubstantiated Hype
","July 6, 2019","I'm wondering about all the ""positive reviews"". This is the only Kindle I've ever owned and I wouldn't recommend it to anyone. I know this particular Kindle is the base model... The ppi is horrible. The lighting is mediocre even at it's highest setting. The touch screen isn't smooth at all and really glitchy to be honest.I've read comments about Kindles that stated the experience was better than tablets and cell phones. And that just isn't true. Ten minutes after reading on this Kindle I couldn't wait to hop back on my note 9 which is far superior using the Kindle app. At the end of the day it was another lesson learned. It's just a shame it took me 90 bucks to learn it.
"
NN,1,"Issues with holding the battery charge and Glitches
","October 28, 2019","This kindle is a piece of crap. After charging it to a full 100 percent and hour later the charge is less than 50 percent. It also glitches constantly. No matter the number of resets or the amount of books stored on it, the charge does not last the day. These issues occurred on the first day that I received it and the few days thereafter when I tried to resolve the issue.I spoke to Amazon cs and they were not helpful. They advised to charge it to 100 percent (well of course, right) and then advised to restart it with a hard reset (hold the power button for 40 seconds) but this does not help the battery issue.I do not recommend this item. Amazon needs to work on fixing this issue, as it appears to be a major problem. Just do a quick internet search and see that there are a bunch of other people dealing with the same issues. Amazon, please fix this.
"
dcarlin1152,1,"Battery life about 3 hours!!!
","April 26, 2019","I bought this because of the long-battery life advertised. It was not a good decision. The battery lasts 3-4 hours at most. I dislike the fact that you have to charge it daily.  Also, the charging cord is about 20” long, so don’t think you can charge it by your bed unless your power outlet is right there.
"
Beach Lover,4,"This Kindle is Growing On Me
","August 10, 2019","I do not love change and I really wanted to replace my original paper white. So when the newest edition of the Kindle arrived, I did not like it at all. But the more I use it, the more I like it. I love that Good Reads is on it and easy to find. I don't love how small it is, but I love that it fits easily in my purse. I love how light it is. My older Kindle was much bulkier and heavier. I SUPER LOVE the battery life. The touchscreen is absolutely nowhere near as sensitive as a smart phone. So the touchscreen should be something they continue to work on. The lighting is good at night and outside, not great, not like my smart phone. But it's a solid good. I really like my case that goes with it. If I had the purchase to do over would I make it? Yes! Would I recommend this? Yes! If you get it and like it but don't love it, my advice is: Give it a little time. This device is growing on me. I like it a little more every day.
"
J. Watkins,5,"I love this thing!
","July 11, 2019","I was very skeptical at first because it was so small, and I didn't know how I would adjust to screen reading vs book reading. I would say within the first 30 mins  I was used to the screen reading and was quite comfortable using this device. With being able to get ebooks from my local library and the books that come with Amazon Unlimited, I'm completely enamored with this device...I read 6 books in the first week I had the Kindle! The lighting for the screen if wonderful, I've been able to keep reading a few nights when I've had to lay down with my daughter to help her get to sleep, and the low light doesn't bother her. The only odd thing I've noticed is that after a few weeks of use, the sensitivity of the screen to tap to go to the next page seems to be lacking. I'm having to tap twice a lot now because it doesn't change the page the first time I tap it. I'll have to keep an eye on that. Overall, I'm happy with this!
"
Joyce A. Manning,4,"I love Kindle!
","April 24, 2019","I am sure when I become accustomed to it I will consider it a five. I had my other Kindle for about 8 years and I love it. The only downside to it was the screen wasn’t lighted. I haven’t had time to read the user guide yet. When I have time to read I had wanted it to be for pleasure. The one thing I liked better on my old kindle is  that my books were listed and I prefer that to book fronts. My old one had gotten to where it only held a charge for 24 hours, love the long battery charge.
"
Hope Martin,5,"If you're not a reader, get this one.
","July 24, 2019","It's perfect for what I needed it for. I haven't read this much in MONTHS! I bought it during prime day and already have a bunch of books I'm looking forward to reading. I really enjoy having it. The light is great. Useful with either hand, solo. Right hand can tap to advance page and left hand can use a slide motion to advance page so either hand is good. Super light weight. I tossed a cover on it and really enjoy reading w it. I love that you can adjust the size and space of the lettering since I tend to read in weird positions you really can turn the device to any angle and get a good read out of it. Highly recommend.Oh also when you first get it, it's gonna go to an ad for a book EVERYTIME you wake it up. I went on Amazon and opened a chat with customer service and asked to remove the ads. The did it free of charge so now when I open it it says Waking Up and goes straight to the book I was reading last.
"
Angela,2,"It's Ok
","May 10, 2019","Disappointed turning the pages is hit or miss...never know when it's going to start skipping forward...Don't care for set up of home screen and accessing collections a little more involved..I read everyday all day when I can ☺ so I was spoiled by my old paperwhite...Maybe the next version will be better
"
Raphaella Bugati,1,"REALLY GOOD UNTIL IT STOPS WORKING
","July 19, 2019","Im very excited about my new Kindle but not about the part that made me get a new Kindle.So, I got my first Kindle in 2017 and about 12 months later, after I didn't use it for two weeks, it just stopped working for NO REASON. I always kept my Kindle in a case, never dropped, never got it wet, never had a single problem but suddenly it stopped working.So, I called Amazon custom service and asked were I could send it to be fixed and what they told me they couldn't do anything about it because Amazon doesn't have a technical support for it. They offered a 176 reais (Brazilian currency) gift card but a new Kindle Paperwhite at that time was around 450 reais. After that they cancelled my Kindle account, so I couldn't try to fix it myself, I asked for my account back and I never got it but the gift card is gone now and I never got it back as well.So I'm giving Kindle a new chance not because of Amazon's service or anything, just bc I really like to read.Kindle is great until they stop working for NO reason and you have to throw them (and your money) away.
"
Kindle Customer,1,"Tiny and lacks crispness
","June 12, 2019","My much loved 8"" Kindle Fire finally bit the dust, and while I have the larger 10"" Fire, I wanted something smaller to stick in my purse when traveling.  I admit I did not carefully look at the size of this before buying it, but was shocked to see, when it arrived, that it was barely larger than my cell phone.  When I made the font large enough to read comfortably without my glasses, I got about two paragraphs per page.  Not acceptable for a fast reader.  Also the letters were not clear...honestly it looks like a cheap knockoff.  Fortunately there is a Fire sale this weekend for Father's day so I am returning this useless to me device and getting another 8"" Fire for $20 less than I paid for this!
"
S. Green,3,"Poor Quality
","June 30, 2019","My first Kindle was a 2012 Paperwhite.  Loved that, was still using it, screen wasn't as responsive but battery lasted at least a week.  I've had it 7 years...decided to replace it with a new version.Disappointed in the new version I replaced it with.  When it was received I returned it because the battery only lasts approx 3 days (but it does charge fast!) and the screen sometimes freezes after a couple of hours reading.  The replacement behaves the same way with a +/- 10% improvement.  Evidently this is the new quality we can expect.  Still love my Kindle but oh so disappointed in the quality..
"
Amazon Customer,4,"I LOVE my kindle....but....
","July 25, 2019","When I first got my new kindle I was amazed at how light it is....but then quickly learned that it is also very slick! Easy to fumble and drop. I purchased a cloth cover from Amazon but discovered that it too was slick and added too much extra weight because its foundation is hard plastic. I like to read in bed....holding the kindle in one hand. It was fumbly and difficult to hold. I had difficulty changing the page with one hand while holding onto the kindle. The touch screen page turning was sensitive,  a little unwieldy and hard until I purchased a pop socket for the back of the kindle. ALL problems solved!! I do not recommend the cloth cover. It doubles the weight of the kindle and is also slick. The pop socket is the way to go here.As far as the features of the kindle....they are all great. It's quick and responsive.  It's easy to navigate and is intuitive. I do not use the light but can see how it would be handy at times. I am trying to reduce blue light since that helps with getting more and better sleep.I don't know if it's MY kindle or if this a universal problem but, my personal theme settings do not stay set. Suddenly things will revert to perhaps default settings for font, spacing etc. without warning. Annoying but not a big deal really. I do have to keep resetting my theme and I wish it weren't that way but am not willing to send it back over such an issue. Maybe I should.All in all, I love this kindle. It's all that I need and cannot see why anyone would need to spend a lot more money on an upgraded version. This one is light weight, compact, simple, easy to use and perfect for reading.  I do not recommend the cloth cover but highly recommend a pop socket for carefree use.
"
Josh,1,"very disappointed - flawed in design and not a great kindle. Wish I could exchange/return
","August 27, 2019","This kindle is pretty disappointing. I've given it time hoping I would adjust, but this kindle is just flawed. Some of it is getting used to the touch screen and just accepting the fact that when I have to reach for something and hold it with one hand, pages will skip ahead and the touch screen will pop up different menus. The main problem is that - with every book I have read so far on this kindle - it FLIPS OUT and will skip ahead in the book (more than one spoiler has occurred) and I will not be able to go BACK to the page I am on. When I touch the left side of the screen, it continues going further ahead. I have to let it sit for a minute or so for it to respond correctly. It truly ruins the experience and makes an enjoyable read frustrating. I wish I could exchange this kindle for my old one that broke, with buttons on the side.
"
David Terry,5,"Just as good as the older Paperwhite
","August 10, 2019","Lost my Paperwhite on the bus (an older version not the latest). Decided to go with the standard version now that it has lights. I frankly don't see the difference between it and the pervious version of the Paperwhite. Love it. Works great. Resolution is good too. (I don't read comics or high res image based books, just fiction/nonfiction.) Highly recommend it and the entire Amazon ecosystem. (Highlights, notes, whispersync, etc.)I would recommend backing up your MyClippings.txt file once a month or so. Although Amazon will sync your highlights and notes for books purchased they don't for your ""side loaded"" or personal books. All your highlights and notes are in the MyClippings.txt file, even those books you side load or send from your email address. Connecting your device to your computer and copying the file over somewhere safe will ensure you'll have all your notes and highlights.
"
JJ dreamer,3,"Long battery life is if you go through the steps to achieve it.
","June 18, 2019","I got my 2019 all new Kindle last week, and so far I'd have to say it's kind of nice and kind of lackluster!  I've had problems getting to the main screen, trying to get to the next section of the book with going forward went at times forward and also backwards which confused me. One big issue is the battery. It's hard to check level of charge and what not, but the biggie is the battery not lasting for weeks as stated. I found out that you can only get weeks long battery life IF you turn off WiFi, keep the backlighting low and such. So if you like a brighter display weeks-long battery life is out the window. If you have Audible audiobooks on account, these will clutter the screen thus making it harder to find just ebooks you have in your library. For those who hope to help you switch off the phone and television to aid in sleeping, it doesn't work as good as you'd think.
"
Carol,5,"Awesome, love it!!
","April 29, 2019","It took a bit before I figured some of it out but the funny thing is if you actually look at the instructions it's so much easier lol. I love that it's so light, that's one of the biggest reasons I got it.. my tablet is heavy after holding it for extended periods of time. This is light and looks a lot more like reading paper books. The non-glare is so much easier on my eyes.
"
Gray,5,"Does everything I want it to do
","November 21, 2019","I used to have a Paperwhite, but after it was stolen I bought this model because it was cheaper. I can honestly say that now that the basic model has the backlight, I don't miss the Paperwhite at all. While it's possible to see the difference in resolution between the two models, in practical terms I don't see any difference at all. You're just reading after all, and the lower resolution doesn't distract from the reading experience for me whatsoever. Highly recommended.
"
CanyonCarl,4,"Best Ereader on the Market
","July 22, 2019","This is my 3rd Kindle overall and 2nd Paperwhite. That alone should be enough to express my satisfaction. I deducted one star because it is slightly smaller than my last Kindle. It therefore does not fit securely into my old slightly larger cover for which I paid $39.99. Buying a new cover that fits and puts the Kindle to sleep when closed and awakes it when opened would cost me another $39.99 which I am not willing to pay. Instead I am using using duct tape to hold the new Kindle in the old cover and turning it on and off manually. It would have been so nice if Amazon had made this Kindle the same size as my old one.Nevertheless I highly recommend this Kindle. If it's your first, my criticism applies only to its size and not its quality.I used Amazon's trade-in program which brought my cost down to just over $46. That was certainly a plus
"
John Witmer,2,"This is much too small for older eyesight.
","July 31, 2019","Although touted as new and improved, it certainly is no replacement for the Kindle DX.  Once you have found a bookyou would like to read, you can change the print size to suit you, but since the overall size of the device is so small, thatmeans you can read less than a sentence at a time. It lacks control buttons, so everything has to be controlled on the screen. This makes it very difficult because it's hard to tell whereabouts on the screen you should press. I returned the device and managed to get my old Kindle DX to accept a charge again and I will gladly return to using the DX.
"
notanothernickname,5,"What an upgrade for me!
","July 17, 2019","I haven't had a new kindle since the first version, so this is a great upgrade for me. I was surprised at the small size, but now that's exactly what I love about it. it's thin and small, and easy to toss into any size bag that I'm carrying. I love the built in light and longer battery life, as well. I tried the free kindle unlimited trial with it, but in my opinion, it didn't have any of the books I was looking forward to reading, so I cancelled it quickly to avoid forgetting about the end of the trial and getting charged eventually.I'll admit that I didn't read all the literature that came with it, so getting back to the home screen was a struggle at first because it wasn't obvious, but I eventually figured out that it's accessed from the top of the screen.
"
NUNO BARRETO,5,"One of the best purchases I've made in awhile
","July 12, 2019","I love this device ! Coming from the kindle app on a tablet I was a little concerned with the slower speed of the kindle device, but my concerns were unfounded. Yes, it's slower, but it doesn't affect the overall reading experience.  The size is great, it's about the size of a paperback, very lightweight and you can hold it with just one hand while reading without any issues. While this device has the lowest screen resolution of the remaining devices on the kindle family, I find that as long as you're not reading with the device an inch from your eyes, you will have no issues at all. Even with a small size font the text is perfectly readable and sharp. Compared with reading on an ipad, you have the advantage of having no notifications to distract you from reading, the screen on the kindle is much easier on the eye than a normal lcd and you can read in bright daylight without issues as there is no screen glare. Additionally, you can browser/purchase new books directly on the kindle, whereas on the ipad you'd have to open a web browser and go to Amazon's website to buy something. The built-in light of this device is more than adequate for low light reading or for reading at night. You can change the brightness in the device settings. The device also allows you to listen to audiobooks (from Audible) using wireless bluetooth headphones. I would say the only (very minor) drawback is that the battery life doesn't seem to be as long as advertised. I read for about 1hr to 1hr30m each day and with the backlight set to about 50% I get ~2 weeks of battery life. Again, this is a very minor issue, 2 weeks is plently and you can charge as long as you have either the optional charger, or a device with a USB port that you can connect the USB cable provided for charging.
"
LAH,2,"Quality & user friendliness does NOT COMPARE to my 1st Kindle - a keyboard
","September 12, 2019","Pages turn when you haven't touched the screen - even worse: frequently you cannot get a page to turn. Highlighting of a page(s) appears for no apparent reason. PLEASE ADVISE if my old Kindle can be refurbished!!??Using the new Kindle is a lesson in frustration & completely destroys the enjoyment of the book!AGAIN: PLEASE ADVISE IF MY OLD KINDLE CAN BE REFURBISHED? I would be more than willing to pay the same amount I gave for this Kindle!As for holding it's charge, I have to charge it 2 - 3 times as often as I did my other Kindle!
"
All4mykids,4,"It's ok.
","September 22, 2019","I thought I was buying the paperwhite but I guess I was wrong. I like this one because it is light weight and it reminds me of reading a book. It's easy on the eyes. The battery is great as well. The downfall is, it's black and white, so you want see color on the book covers and the screen is picky. Half the time when I turn the page, it goes backwards instead of head. Also, if you want to go to ""Home"", it is touchy. I found it is easier to be on a new chapter or where there's not writing on the whole top page. If there are words in the top, because that's where you have to tap it, then it tends to turn pages.  I also find I can't write reviews on it either. Just put the number of stars. To me, I'm not sure if it was worth the price I paid but I would buy again if the price was right.
"
Ruby,3,"Sorry my old one died
","August 25, 2019","I am disappointed in my new Kindle. Yes - it has a text to speech feature but no speaker and a  Bluetooth is needed with a device such as an Alexa This is mitigated when I am near my Alexa as the text to speech is much better. However if I am outdoors and in my 7 year old car . . . I am out of luck. I like to listen to the text to speech reading my book as I quilt. Sometimes it works. Sometimes it does not.I really think this should have been clearer in the advertising. I did not realize this until after I received the device.
"
betty elder,4,"lighter-weight and still easy to read anywhere
","June 18, 2019","I love the size (screen is the same size but everything else is smaller and lighter).  I've been using the original Kindle and it still has all the great features as far as being able to read it in sunlight, etc.  No glare.  The new front light is also great.  I replaced the old one because the buttons weren't working well anymore, but I'm not 100% thrilled with the swipe screen.  Sometimes it's too sensitive and will change pages forward or backward when I don't want it to but that could just be due to the fact that I'm not fully used to it yet.  Otherwise, it's great.
"
Robert D. Mcgee,5,"Excellent tool and a great value!
","November 2, 2019","I have been a Kindle user for many years. I am an avid reader and have read literally HUNDREDS of books on my Kindle. I love the light's intensity, easy to read in daylight as well as a darkened room. The ability to instantly change text size and type of lettering, for changing conditions is a great advantage. The Kindle's light weight makes it wonderful to handle whether sitting or lying down.This particular model works very well in all respects and I consider it a bargain!
"
Danielle B.,5,"Traded up
","June 17, 2019","So I had my original Kindle for seven years without any issues. Decided to finally trade up this year only because the screen started getting stuck at times and it was getting some-timey with the charging.  Trust me, I went back and forth with whether I wanted a new kindle.  When I received the new one, I spent about a week comparing them.  What can I say?  I loved my original Kindle paperwhite.  Anyway, I finally relented and traded up.  Am I glad I did?  So far, yes.  I just hope I can get the same mileage out of the new one.  I absolutely love the paperwhite because I am an avid reader.  The only downside is that I can no longer download books from my local library since they changed over to Axis 360 platform.  Totally bummed about that. I have inquired with Amazon as to whether they will support Axis for the paperwhite, but it doesn’t look likely.
"
Amazon Customer,4,"Recommended as first e-reader
","July 23, 2019","This is my first Kindle, so I can’t speak on prior experience with other e-readers.Impressions:PPI may be lower than other models, but since this is my 1st Kindle, the resolution looks fine to meTouch screen isn’t as responsive as I’d like. There appears to be some minimal freezing at times when I’m browsing in-store.The keyboard can be annoying, as touch screen isn’t always responsive.I’m in love with how the screen looks like a book page.Thought the ads would bother me. They don’t so far.Bottom line:For a while I wasn’t covinced I needed a e-reader (although my full bookshelf convinced me otherwise). I’m really glad I was able to grab this on a sale & give it a try.I still enjoy physical books, but the weight of this kindle is similiar to a small paperback and it’s ability to be read in the dark has won me over.I would recommend this as someone’s first e-reader.
"
Graymalkin,5,"Wife Loves Her Kindle!
","September 15, 2019","I had no idea what to get my wife for her birthday. She loves to read (we have nine bookcases!), and I had to practically drag her kicking and screaming (figuratively; she has more firearms than I do) to read a book on my Kindle tablet some time ago.The first book I got her to read on the Kindle app on her phone was by our new favorite author, Clayton Lindemuth. She loved the book, and thought the app was cool (welcome to 2019, sweetheart!).I bought her the Kindle package with cover for her birthday. She loves it! Comfortable to hold, a well-lit screen, long battery life, and the cover puts the Kindle in ""sleep mode.""Of course, she immediately started shopping for books, so I got her a subscription to Kindle Unlimited.I have created a monster.  :)
"
Elsa Raquel Burke ,5,"Que es un excelente producto.
","May 11, 2019","Uso mi Kindle con luz incorporada para hacer mis oraciones y leer la Biblia en la madrugada, leer otros libros también. y no tengo que correr las cortinas o encerder luces, gracias
"
